Test Name,P-Value,Outcome
Frequency Test (Monobit),0.898119787,Random
Frequency Test within a Block,8.60E-01,Random
Run Test,9.58E-02,Random
Longest Run of Ones in a Block,6.93E-01,Random
Binary Matrix Rank Test,-1.00E+00,Non-Random
Discrete Fourier Transform (Spectral) Test,2.17E-01,Random
Non-Overlapping Template Matching Test,1.00E+00,Random
Overlapping Template Matching Test,-1.00E+00,Non-Random
Maurer's Universal Statistical Test,-1.00E+00,Non-Random
Linear Complexity Test,-1.00E+00,Non-Random
Serial Test A,8.53E-01,Random
Serial Test B,9.32E-01,Random
Approximate Entropy Test,1.00E+00,Random
Cumulative Sums (Forward) Test,8.94E-01,Random
Cumulative Sums (Reverse) Test,7.86E-01,Random
Random Excursions Test State -4,7.28E-01,Random
Random Excursions Test State -3,9.00E-01,Random
Random Excursions Test State -2,7.55E-01,Random
Random Excursions Test State -1,9.68E-01,Random
Random Excursions Test State +1,3.83E-01,Random
Random Excursions Test State +2,5.42E-01,Random
Random Excursions Test State +3,5.68E-01,Random
Random Excursions Test State +4,7.96E-01,Random
Random Exursions Variant Test State +1,2.37E-01,Random
Random Exursions Variant Test State +2,2.25E-01,Random
Random Exursions Variant Test State +3,1.59E-01,Random
Random Exursions Variant Test State +4,2.34E-01,Random
Random Exursions Variant Test State +5,2.94E-01,Random
Random Exursions Variant Test State +6,2.85E-01,Random
Random Exursions Variant Test State +7,3.82E-01,Random
Random Exursions Variant Test State +8,4.16E-01,Random
Random Exursions Variant Test State +9,3.90E-01,Random
